feature,acc
"['lcom3', 'moa']
","0.6207393919946173
"
"['ca', 'ce']
","0.6352197185363592
"
"['ca', 'loc']
","0.67947547295717
"
"['rfc', 'cam']
","0.6957136124912486
"
"['moa', 'avg_cc']
","0.6407899033841324
"
"['noc', 'amc']
","0.6628157264488583
"
"['lcom', 'amc']
","0.704958449234371
"
"['noc', 'ce']
","0.61019236547683
"
"['dam', 'moa']
","0.5847515737242737
"
"['lcom', 'ce']
","0.6740252115705737
"
"['rfc', 'avg_cc']
","0.6882969022665535
"
"['dit', 'rfc']
","0.677324930433069
"
"['dit', 'cbm']
","0.589350507588506
"
"['moa', 'ic']
","0.5878419977250455
"
"['lcom', 'cam']
","0.6698898992906781
"
"['noc', 'cam']
","0.6474173288901527
"
"['dit', 'moa']
","0.6035747368425853
"
"['rfc', 'lcom3']
","0.6833253144500688
"
"['lcom3', 'max_cc']
","0.6555234929076285
"
"['rfc', 'ic']
","0.6726679451564197
"
"['mfa', 'max_cc']
","0.6699385223653999
"
"['ca', 'lcom3']
","0.6315577639576716
"
"['lcom', 'avg_cc']
","0.6603165396433617
"
"['cam', 'max_cc']
","0.6647352220714551
"
"['dit', 'loc']
","0.6970479534312006
"
"['dit', 'npm']
","0.6385439984190715
"
"['ca', 'ic']
","0.5849221615973816
"
"['noc', 'avg_cc']
","0.6334969227624336
"
"['dam', 'max_cc']
","0.6334043683456828
"
"['dam', 'mfa']
","0.6482935521688933
"
"['lcom', 'ic']
","0.6347486158891412
"
"['noc', 'ic']
","0.5557988026973097
"
"['cbo', 'moa']
","0.6447882250381822
"
"['loc', 'max_cc']
","0.6848968761540981
"
"['dit', 'max_cc']
","0.631000398531496
"
"['dit', 'mfa']
","0.6518261539791669
"
"['dit', 'lcom3']
","0.6471940115020425
"
"['moa', 'cbm']
","0.589349383545225
"
"['amc', 'max_cc']
","0.6813474210399587
"
"['lcom', 'dam']
","0.633852182303671
"
"['cbm', 'max_cc']
","0.6250281024816331
"
"['noc', 'dam']
","0.5736223886775017
"
"['npm', 'amc']
","0.7068436922892758
"
"['rfc', 'cbm']
","0.6750433890352134
"
"['cbo', 'max_cc']
","0.6587316179224965
"
"['rfc', 'moa']
","0.6551169060099582
"
"['npm', 'cam']
","0.6702557412449345
"
"['ca', 'moa']
","0.5918548776762693
"
"['noc', 'rfc']
","0.6474860384103976
"
"['rfc', 'npm']
","0.6906705139745761
"
"['rfc', 'loc']
","0.6907440170218313
"
"['noc', 'cbm']
","0.5625453916844084
"
"['lcom', 'cbm']
","0.6400785893415033
"
"['npm', 'avg_cc']
","0.6622831972062903
"
"['noc', 'moa']
","0.5572223388737296
"
"['lcom', 'moa']
","0.6231841887316265
"
"['moa', 'mfa']
","0.6466501960693641
"
"['lcom', 'npm']
","0.6553448825038801
"
"['lcom', 'loc']
","0.7067055701310007
"
"['noc', 'loc']
","0.6691491580713086
"
"['noc', 'npm']
","0.6164973579339719
"
"['ce', 'amc']
","0.680588061396996
"
"['npm', 'ic']
","0.6295564974920179
"
"['rfc', 'max_cc']
","0.6709773113512125
"
"['rfc', 'mfa']
","0.7029634201434736
"
"['ca', 'max_cc']
","0.6262947055333117
"
"['ca', 'mfa']
","0.6547025950954778
"
"['ce', 'cam']
","0.6894230065613183
"
"['noc', 'max_cc']
","0.6161018992947742
"
"['noc', 'mfa']
","0.6298364960873488
"
"['lcom', 'mfa']
","0.6852319137578797
"
"['ce', 'avg_cc']
","0.679138775674022
"
"['npm', 'dam']
","0.6415925756631452
"
"['lcom', 'lcom3']
","0.6548460096980978
"
"['noc', 'lcom3']
","0.6144082744785383
"
"['ce', 'lcom3']
","0.6754525027749554
"
"['ce', 'ic']
","0.6282009143768514
"
"['npm', 'cbm']
","0.6317208228591429
"
"['npm', 'moa']
","0.6254910495646392
"
"['ce', 'dam']
","0.6352852754965201
"
"['npm', 'loc']
","0.704129841146093
"
"['lcom3', 'amc']
","0.6935208563109864
"
"['mfa', 'amc']
","0.6978538158303232
"
"['dit', 'ca']
","0.6063973035970788
"
"['lcom3', 'cam']
","0.6792114077381032
"
"['mfa', 'cam']
","0.7035402985472162
"
"['ce', 'cbm']
","0.638768120793625
"
"['npm', 'mfa']
","0.6821482315349089
"
"['loc', 'amc']
","0.7103943142536527
"
"['moa', 'max_cc']
","0.6260737109854356
"
"['lcom3', 'avg_cc']
","0.665636227401252
"
"['mfa', 'avg_cc']
","0.6855975431539669
"
"['ce', 'moa']
","0.6426851030887735
"
"['max_cc', 'avg_cc']
","0.6365805492446436
"
"['cam', 'avg_cc']
","0.6795036751597792
"
"['npm', 'lcom3']
","0.6657652785124261
"
"['cbo', 'ca']
","0.6351115032999133
"
"['ce', 'npm']
","0.6792073837177305
"
"['ce', 'loc']
","0.6897712088529351
"
"['loc', 'cam']
","0.711138040258702
"
"['dit', 'cbo']
","0.6531422937769742
"
"['dam', 'avg_cc']
","0.6488376505574663
"
"['ic', 'amc']
","0.6680753944334868
"
"['lcom3', 'ic']
","0.6414402885488582
"
"['mfa', 'ic']
","0.6386204516148075
"
